entity_id,event_type,event,time,resource_id,value,fuel_level_start,fuel_level_end
StationTank,fuel_level_change,fuel_level_change,5823.0,,71.0,,
Car 103,resource_use_end,pumping_ends,5824.0,1.0,,5.0,50.0
Car 103,arrival_departure,depart,5824.0,,,,
StationTank,fuel_level_change,fuel_level_change,5824.0,,71.0,,
Car 105,resource_use,payment_begins,5824.0,1.0,,20.0,50.0
StationTank,fuel_level_change,fuel_level_change,5825.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5826.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5827.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5828.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5829.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5830.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5831.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5832.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5833.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5834.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5835.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5836.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5837.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5838.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5839.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5840.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5841.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5842.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5843.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5844.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5845.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5846.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5847.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5848.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5849.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5850.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5851.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5852.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5853.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5854.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5855.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5856.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5857.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5858.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5859.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5860.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5861.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5862.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5863.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5864.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5865.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5866.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5867.0,,41.0,,
StationTank,fuel_level_change,fuel_level_change,5868.0,,41.0,,
